История космонавтики
04.10.1957;Запуск первого искусственного спутника Земли;Спутник-1 - первый в мире искусственный спутник Земли, советский космический аппарат, запущенный на орбиту во время Международного геофизического года. Кодовое обозначение спутника — "ПС-1" ("Простейший Спутник-1"). Запуск был осуществлён с космодрома "Байконур" на ракете-носителе "Спутник", созданной на базе межконтинентальной баллистической ракеты "Р-7". Запуск стал началом новой эры политических, военных, технологических и научных разработок. Дата запуска «Спутника-1» является началом космической эры человечества, а в России ежегодно отмечается как памятный день Космических войск.
19.08.1957;Полет Белки и Стрелки;Белка и Стрелка - собаки-космонавты, совершившие космический полёт на советском корабле "Спутник-5". Основной целью полёта было исследование влияния на организм животных и других биологических объектов факторов космического полёта: перегрузка, длительная невесомость, переход от перегрузок к невесомости и обратно, изучение действия космической радиации на животных и растительные организмы, на состояние их жизнедеятельности и наследственность, и так далее. Белка и Стрелка стали первыми животными, которые совершили орбитальный космический полёт и успешно вернулись на Землю.
02.01.1959;Первый космический аппарат, достигший Луны;"Луна-1" - советская автоматическая межпланетная станция (АМС) для изучения Луны и космического пространства. Первый в мире космический аппарат, достигший второй космической скорости, преодолевший притяжение Земли и ставший искусственным спутником Солнца.
01.01.1961;Первый полет человека в космос;Юрий Алексеевич Гагарин - лётчик-космонавт СССР, Герой Советского Союза, кавалер высших знаков отличия ряда государств, почётный гражданин многих российских и зарубежных городов. Юрий Гагарин стал первым человеком в мировой истории, совершившим полёт в космическое пространство. Ракета-носитель «Восток» с кораблём "Восток-1", на борту которого находился Гагарин, была запущена с космодрома Байконур. После 108 минут полёта Гагарин успешно приземлился в Саратовской области. День полёта Юрия Гагарина в космос был объявлен праздником - Днём космонавтики.
01.01.1969;Первая высадка человека на Луну;Нил Армстронг, Аполлон-11, США
01.01.1972;Первая успешная стыковка двух космических кораблей на орбите;Союз-19 и Аполлон, СССР и США
01.01.1975;Первая мягкая посадка на Венеру;Советский аппарат Венера-9
01.01.1975;Первая мягкая посадка на Марс;Советский аппарат Марс-7
01.01.1998;Начало строительства Международной космической станции; 
01.01.2006;Первый частный космический корабль;Судно Спейс Шаттл, США.
01.01.2019;Старт первого частного космического корабля;Crew Dragon, США.
